The result for hurdat2-1851-2017-050118.txt is:

|     Strom name     ||      Storm ID      ||  Distance travel   ||  Mean propagation  ||  Max propagation   ||        TRSE        ||Max hurricane surface area|
|        N/A         ||      AL061968      ||       698.49       ||        4.85        ||        9.11        ||     2250000.0      ||        N/A         |
|        N/A         ||      AL071968      ||      1124.95       ||       13.39        ||       17.85        ||     1722000.0      ||        N/A         |
|        EDNA        ||      AL081968      ||      2036.97       ||       11.32        ||       18.21        ||     13760250.0     ||        N/A         |
|        N/A         ||      AL091968      ||      2354.21       ||        10.6        ||        29.6        ||     37038000.0     ||        N/A         |
|        N/A         ||      AL101968      ||      1232.58       ||       11.41        ||        17.0        ||     1687500.0      ||        N/A         |
|        N/A         ||      AL111968      ||       1188.1       ||        19.8        ||       23.95        ||     1142250.0      ||        N/A         |
|      FRANCES       ||      AL121968      ||      2182.42       ||       12.54        ||       24.98        ||     8625000.0      ||        N/A         |
|        N/A         ||      AL131968      ||      1020.25       ||        10.0        ||       15.95        ||    -98970498.0     ||        N/A         |
|       GLADYS       ||      AL141968      ||      2460.36       ||       12.43        ||       35.26        ||     44307750.0     ||        N/A         |
|        N/A         ||      AL151968      ||       549.36       ||       22.89        ||       25.03        ||      375000.0      ||        N/A         |
|        N/A         ||      AL011969      ||       632.61       ||        6.59        ||       10.14        ||     1500000.0      ||        N/A         |
|        N/A         ||      AL021969      ||       401.75       ||       16.74        ||       20.39        ||      375000.0      ||        N/A         |
|        N/A         ||      AL031969      ||       515.3        ||       10.74        ||       15.06        ||      750000.0      ||        N/A         |
|        N/A         ||      AL041969      ||       225.37       ||        3.13        ||        5.93        ||     1125000.0      ||        N/A         |
|        N/A         ||      AL051969      ||       571.88       ||       11.91        ||       19.04        ||      886500.0      ||        N/A         |
|        ANNA        ||      AL061969      ||      5421.04       ||       20.08        ||       44.48        ||     20697000.0     ||        N/A         |
|      BLANCHE       ||      AL071969      ||      1906.72       ||       35.31        ||       42.59        ||     12090750.0     ||        N/A         |
|       DEBBIE       ||      AL081969      ||      4333.56       ||       16.42        ||       53.15        ||    157666500.0     ||        N/A         |
|      CAMILLE       ||      AL091969      ||      3102.93       ||       15.21        ||        38.3        ||    172752250.0     ||        N/A         |
|        N/A         ||      AL101969      ||      1207.37       ||       12.58        ||       21.86        ||     1500000.0      ||        N/A         |
|        N/A         ||      AL111969      ||       355.02       ||        7.4         ||        9.68        ||      750000.0      ||        N/A         |
|        EVE         ||      AL121969      ||       612.56       ||        9.28        ||       13.66        ||     3515250.0      ||        N/A         |
|     FRANCELIA      ||      AL131969      ||      1671.61       ||       10.72        ||       27.28        ||     46995000.0     ||        N/A         |
|        N/A         ||      AL141969      ||       429.62       ||        5.97        ||        9.29        ||     -4790544.0     ||        N/A         |
|        N/A         ||      AL151969      ||      1637.04       ||       13.64        ||       23.97        ||     2557500.0      ||        N/A         |
|       GERDA        ||      AL161969      ||      2039.49       ||       18.88        ||        46.2        ||     32571000.0     ||        N/A         |
|       HOLLY        ||      AL171969      ||      1231.62       ||        7.89        ||       30.88        ||     21909000.0     ||        N/A         |
|        N/A         ||      AL181969      ||       559.6        ||        5.83        ||       12.11        ||     1500000.0      ||        N/A         |
|        N/A         ||      AL191969      ||       271.03       ||        6.45        ||        8.98        ||      656250.0      ||        N/A         |
|        INGA        ||      AL201969      ||      3644.76       ||        6.2         ||       15.44        ||    145462500.0     ||        N/A         |
|        N/A         ||      AL211969      ||       966.69       ||        8.95        ||       27.78        ||     20107500.0     ||        N/A         |
|        N/A         ||      AL221969      ||      1131.11       ||        8.57        ||       22.18        ||     19630500.0     ||        N/A         |
|        N/A         ||      AL231969      ||       461.51       ||        8.55        ||       14.96        ||     4936500.0      ||        N/A         |
|       JENNY        ||      AL241969      ||      1291.49       ||       10.25        ||       15.41        ||     2695500.0      ||        N/A         |
|        KARA        ||      AL251969      ||      4082.05       ||       14.48        ||       46.41        ||     54108000.0     ||        N/A         |
|       LAURIE       ||      AL261969      ||      1590.44       ||        6.47        ||       11.08        ||     38388750.0     ||        N/A         |
|        N/A         ||      AL271969      ||       992.5        ||       12.72        ||       27.66        ||     11191500.0     ||        N/A         |
|        N/A         ||      AL281969      ||      2467.36       ||       13.71        ||       21.75        ||     33681000.0     ||        N/A         |
|       MARTHA       ||      AL291969      ||       147.59       ||        1.54        ||        4.09        ||     21294750.0     ||        N/A         |
|        ALMA        ||      AL011970      ||       2053.3       ||        9.01        ||       16.38        ||     10148250.0     ||        N/A         |
|       BECKY        ||      AL021970      ||      1226.45       ||       11.36        ||       20.32        ||     6839250.0      ||        N/A         |
|        N/A         ||      AL031970      ||      1526.75       ||       12.12        ||       20.34        ||     1694250.0      ||        N/A         |
|       CELIA        ||      AL041970      ||      1606.73       ||       11.64        ||       14.59        ||     42798000.0     ||        N/A         |
|        N/A         ||      AL051970      ||      1528.22       ||       15.92        ||       19.11        ||     1704000.0      ||        N/A         |
|        N/A         ||      AL061970      ||       318.67       ||        8.85        ||        8.85        ||     -5353044.0     ||        N/A         |
|        N/A         ||      AL071970      ||      2492.31       ||       14.84        ||       19.06        ||     3443250.0      ||        N/A         |
|        N/A         ||      AL081970      ||      1671.91       ||        19.9        ||       58.39        ||     5748000.0      ||        N/A         |
|      DOROTHY       ||      AL091970      ||      1982.38       ||       13.77        ||       16.98        ||     11646750.0     ||        N/A         |
|        N/A         ||      AL101970      ||       870.02       ||        6.3         ||       11.09        ||     1561500.0      ||        N/A         |
|        N/A         ||      AL111970      ||       656.19       ||       12.15        ||        14.8        ||      752250.0      ||        N/A         |
|        ELLA        ||      AL121970      ||      1175.58       ||       10.31        ||       19.42        ||     32068500.0     ||        N/A         |
|       FELICE       ||      AL131970      ||      1312.41       ||        9.94        ||       19.36        ||     6702750.0      ||        N/A         |
|        N/A         ||      AL141970      ||       794.71       ||       10.19        ||       12.38        ||     1127250.0      ||        N/A         |
|        N/A         ||      AL151970      ||      4572.19       ||       10.58        ||       18.77        ||     10070250.0     ||        N/A         |
|       GRETA        ||      AL161970      ||      1471.96       ||        7.22        ||       14.06        ||     6006750.0      ||        N/A         |
|        N/A         ||      AL171970      ||      1045.37       ||       21.78        ||       30.67        ||      658500.0      ||        N/A         |
|        N/A         ||      AL181970      ||      1927.49       ||        14.6        ||       55.24        ||     26943750.0     ||        N/A         |
|        N/A         ||      AL191970      ||       1583.5       ||        8.25        ||       48.93        ||     27544500.0     ||        N/A         |
|       ARLENE       ||      AL011971      ||      1458.77       ||       17.37        ||       29.34        ||     6547500.0      ||        N/A         |
|        N/A         ||      AL021971      ||       227.5        ||        9.48        ||        9.62        ||     -5540544.0     ||        N/A         |
|        N/A         ||      AL031971      ||       107.19       ||        4.47        ||        4.47        ||     -5540544.0     ||        N/A         |
|        N/A         ||      AL041971      ||      2000.32       ||       20.84        ||        44.8        ||     13598250.0     ||        N/A         |
|        N/A         ||      AL051971      ||       442.61       ||        6.15        ||        9.25        ||     -4790544.0     ||        N/A         |
|        BETH        ||      AL061971      ||      1769.11       ||       10.53        ||       17.96        ||     21972750.0     ||        N/A         |
|        N/A         ||      AL071971      ||       398.53       ||        4.15        ||        7.74        ||     -4735794.0     ||        N/A         |
|       CHLOE        ||      AL081971      ||       2155.2       ||       12.83        ||       24.48        ||     6226500.0      ||        N/A         |
|       DORIA        ||      AL091971      ||      3361.63       ||       16.01        ||       29.66        ||     9402750.0      ||        N/A         |
|        N/A         ||      AL101971      ||      1073.55       ||       11.18        ||        13.8        ||     -4507044.0     ||        N/A         |
|        FERN        ||      AL111971      ||      1035.92       ||        4.54        ||        6.66        ||     24984750.0     ||        N/A         |
|        N/A         ||      AL121971      ||       1495.6       ||       11.87        ||       24.31        ||     2286000.0      ||        N/A         |
|       EDITH        ||      AL131971      ||      3448.64       ||        11.5        ||       19.52        ||     82330500.0     ||        N/A         |
|       GINGER       ||      AL141971      ||      4019.17       ||        5.73        ||       21.73        ||    200849250.0     ||        N/A         |
|        N/A         ||      AL151971      ||       598.47       ||        8.31        ||       18.17        ||     -4973544.0     ||        N/A         |
|        N/A         ||      AL161971      ||      1571.16       ||       16.37        ||       24.16        ||     1704000.0      ||        N/A         |
|       HEIDI        ||      AL171971      ||      1205.99       ||       12.56        ||       23.46        ||     7491750.0      ||        N/A         |
|       IRENE        ||      AL181971      ||      2357.58       ||       10.91        ||        19.3        ||     15148500.0     ||        N/A         |
|       JANICE       ||      AL191971      ||      1355.88       ||       16.14        ||       20.64        ||     6357000.0      ||        N/A         |
|        N/A         ||      AL201971      ||      1184.12       ||        6.17        ||       10.02        ||     -3235794.0     ||        N/A         |
|       KRISTY       ||      AL211971      ||      1895.22       ||       21.06        ||       37.18        ||     3868500.0      ||        N/A         |
|       LAURA        ||      AL221971      ||       1298.7       ||        5.7         ||       10.45        ||     29781000.0     ||        N/A         |
|       ALPHA        ||      AL011972      ||      1134.48       ||        8.22        ||       17.59        ||     8861250.0      ||        N/A         |
|       AGNES        ||      AL021972      ||      1819.55       ||        8.92        ||       20.12        ||     26209500.0     ||        N/A         |
|        N/A         ||      AL031972      ||       302.01       ||        7.19        ||        8.25        ||      564750.0      ||        N/A         |
|        N/A         ||      AL041972      ||       475.24       ||        8.8         ||       11.97        ||     -5071794.0     ||        N/A         |
|        N/A         ||      AL051972      ||       705.46       ||        6.92        ||       13.83        ||     1273500.0      ||        N/A         |
|        N/A         ||      AL061972      ||       765.7        ||       10.63        ||       12.97        ||      896250.0      ||        N/A         |
|        N/A         ||      AL071972      ||      1169.04       ||       21.65        ||       24.31        ||      752250.0      ||        N/A         |
|        N/A         ||      AL081972      ||       214.89       ||        2.98        ||        3.92        ||      942000.0      ||        N/A         |
|        N/A         ||      AL091972      ||       616.23       ||       12.84        ||       13.91        ||      612750.0      ||        N/A         |
|       BETTY        ||      AL101972      ||      2156.03       ||        8.76        ||       21.93        ||     59489250.0     ||        N/A         |
|       CARRIE       ||      AL111972      ||      1524.37       ||        9.07        ||       21.27        ||     14742000.0     ||        N/A         |
|        N/A         ||      AL121972      ||       480.88       ||       10.02        ||       12.05        ||      658500.0      ||        N/A         |
|        DAWN        ||      AL131972      ||      2154.28       ||        9.45        ||       22.61        ||     23925750.0     ||        N/A         |
|      CHARLIE       ||      AL141972      ||      1588.85       ||       26.48        ||       50.21        ||     8485500.0      ||        N/A         |
|        N/A         ||      AL151972      ||       859.62       ||        8.95        ||       11.58        ||     1271250.0      ||        N/A         |
|        N/A         ||      AL161972      ||       633.23       ||       13.19        ||       14.41        ||      658500.0      ||        N/A         |
|        N/A         ||      AL171972      ||      3009.83       ||       12.54        ||       19.76        ||     6024750.0      ||        N/A         |
|        N/A         ||      AL181972      ||       692.94       ||        7.22        ||        9.8         ||     1362750.0      ||        N/A         |
|       DELTA        ||      AL191972      ||       887.62       ||        6.16        ||       12.45        ||     5499000.0      ||        N/A         |
|        N/A         ||      AL011973      ||       648.36       ||        9.0         ||       13.16        ||      850500.0      ||        N/A         |
|        N/A         ||      AL021973      ||       892.75       ||        12.4        ||       15.94        ||      942000.0      ||        N/A         |
|        N/A         ||      AL031973      ||       208.47       ||        4.34        ||        4.76        ||      658500.0      ||        N/A         |
|       ALICE        ||      AL041973      ||      1668.85       ||       13.24        ||       39.88        ||     27113250.0     ||        N/A         |
|        N/A         ||      AL051973      ||       680.2        ||       14.17        ||       16.75        ||      704250.0      ||        N/A         |
|        ALFA        ||      AL061973      ||       747.79       ||       12.46        ||       14.53        ||     2018250.0      ||        N/A         |
|        N/A         ||      AL071973      ||      1126.96       ||       23.48        ||       27.86        ||      840750.0      ||        N/A         |
|       BRENDA       ||      AL081973      ||       664.98       ||        7.39        ||       11.45        ||     14175750.0     ||        N/A         |
|     CHRISTINE      ||      AL091973      ||       3174.9       ||       12.91        ||       17.76        ||     19889250.0     ||        N/A         |
|       DELIA        ||      AL101973      ||      1302.13       ||        9.86        ||       18.22        ||     13911000.0     ||        N/A         |
|        N/A         ||      AL111973      ||      1097.43       ||        7.62        ||       15.69        ||    -14472882.0     ||        N/A         |
|       ELLEN        ||      AL121973      ||      4198.63       ||       19.44        ||        50.6        ||     67639500.0     ||        N/A         |
|        N/A         ||      AL131973      ||       342.11       ||        7.13        ||       10.51        ||     -5165544.0     ||        N/A         |
|        FRAN        ||      AL141973      ||      3035.74       ||       26.63        ||       41.11        ||     28448250.0     ||        N/A         |
|        N/A         ||      AL151973      ||      1009.71       ||       21.04        ||        22.5        ||      658500.0      ||        N/A         |
|       GILDA        ||      AL161973      ||      3476.56       ||       10.54        ||       43.18        ||     33354000.0     ||        N/A         |
|        N/A         ||      AL171973      ||       266.53       ||        8.88        ||       10.52        ||     -5242044.0     ||        N/A         |
|        N/A         ||      AL011974      ||       520.7        ||        5.42        ||        8.96        ||     1225500.0      ||        N/A         |
|        N/A         ||      AL021974      ||       870.65       ||       29.02        ||       36.86        ||     3184500.0      ||        N/A         |
|        N/A         ||      AL031974      ||       857.76       ||       17.87        ||       19.06        ||      909000.0      ||        N/A         |
|        N/A         ||      AL041974      ||       643.52       ||        6.31        ||        10.9        ||     -3821544.0     ||        N/A         |
|        N/A         ||      AL051974      ||      1878.23       ||       17.39        ||       27.83        ||     6235500.0      ||        N/A         |
|        N/A         ||      AL061974      ||       872.42       ||        8.08        ||       22.03        ||     7752000.0      ||        N/A         |
|        ALMA        ||      AL071974      ||      1598.46       ||        22.2        ||       24.68        ||     4314750.0      ||        N/A         |
|        N/A         ||      AL081974      ||       641.16       ||       13.36        ||       13.68        ||     -4892544.0     ||        N/A         |
|       BECKY        ||      AL091974      ||      2062.63       ||       12.73        ||        35.2        ||     77562750.0     ||        N/A         |
|       CARMEN       ||      AL101974      ||       2942.1       ||       10.22        ||       23.96        ||    148775250.0     ||        N/A         |
|        N/A         ||      AL111974      ||      3224.14       ||       14.93        ||       22.86        ||     5126250.0      ||        N/A         |
|       DOLLY        ||      AL121974      ||      1378.37       ||       20.88        ||       38.43        ||     4082250.0      ||        N/A         |
|       ELAINE       ||      AL131974      ||      3056.22       ||       13.77        ||       27.24        ||     15246000.0     ||        N/A         |
|        FIFI        ||      AL141974      ||      2290.19       ||       11.93        ||       20.31        ||     48990750.0     ||        N/A         |
|        N/A         ||      AL151974      ||       495.53       ||        9.18        ||        12.0        ||      706500.0      ||        N/A         |
|        N/A         ||      AL161974      ||       945.73       ||        9.85        ||       12.18        ||     -3733044.0     ||        N/A         |
|      GERTRUDE      ||      AL171974      ||      1364.46       ||        8.75        ||       15.88        ||     17075250.0     ||        N/A         |
|        N/A         ||      AL181974      ||      1561.41       ||       13.01        ||       38.61        ||     5301000.0      ||        N/A         |
|        N/A         ||      AL191974      ||       916.87       ||       12.73        ||       13.66        ||      942000.0      ||        N/A         |
|        N/A         ||      AL201974      ||       189.53       ||        3.95        ||        4.09        ||      612750.0      ||        N/A         |
|        N/A         ||      AL011975      ||       940.83       ||        7.84        ||       12.23        ||     2375250.0      ||        N/A         |
|        AMY         ||      AL021975      ||      2108.26       ||       11.71        ||        35.5        ||     23162250.0     ||        N/A         |
|        N/A         ||      AL031975      ||       353.79       ||       14.74        ||       15.08        ||      329250.0      ||        N/A         |
|      BLANCHE       ||      AL041975      ||      1678.01       ||       14.72        ||       37.56        ||     17092500.0     ||        N/A         |
|        N/A         ||      AL051975      ||       344.53       ||        9.57        ||       18.71        ||     -5353044.0     ||        N/A         |
|        N/A         ||      AL061975      ||       298.38       ||        6.22        ||        7.08        ||     -4960794.0     ||        N/A         |
|      CAROLINE      ||      AL071975      ||      1715.77       ||        8.94        ||       13.37        ||     27778500.0     ||        N/A         |
|       DORIS        ||      AL081975      ||      1035.67       ||        6.16        ||       14.72        ||     66144000.0     ||        N/A         |
|        N/A         ||      AL091975      ||      2000.34       ||        14.5        ||       24.14        ||     3088500.0      ||        N/A         |
|        N/A         ||      AL101975      ||       623.04       ||        8.65        ||        9.82        ||     1306500.0      ||        N/A         |
|        N/A         ||      AL111975      ||       170.71       ||        5.69        ||        9.51        ||     -5446794.0     ||        N/A         |
|        N/A         ||      AL121975      ||       919.75       ||       11.79        ||       38.16        ||     1719000.0      ||        N/A         |
|       ELOISE       ||      AL131975      ||      3080.47       ||       11.16        ||       28.41        ||     46354500.0     ||        N/A         |
|        FAYE        ||      AL141975      ||      3972.19       ||       14.71        ||       44.62        ||     52841250.0     ||        N/A         |
|       GLADYS       ||      AL151975      ||      4682.29       ||       17.34        ||       56.07        ||    113466750.0     ||        N/A         |
|        N/A         ||      AL161975      ||       271.45       ||        2.83        ||        4.3         ||     -4461294.0     ||        N/A         |
|        N/A         ||      AL171975      ||       502.78       ||       10.47        ||       14.48        ||      704250.0      ||        N/A         |
|        N/A         ||      AL181975      ||       643.8        ||        8.94        ||       10.58        ||     -4312794.0     ||        N/A         |
|       HALLIE       ||      AL191975      ||       733.3        ||        9.4         ||       19.39        ||     3672750.0      ||        N/A         |
|        N/A         ||      AL201975      ||       514.2        ||        9.52        ||        15.8        ||     -5071794.0     ||        N/A         |
|        N/A         ||      AL211975      ||       872.88       ||        8.56        ||       15.97        ||     -3730794.0     ||        N/A         |
|        N/A         ||      AL221975      ||       394.08       ||        8.21        ||       14.47        ||      658500.0      ||        N/A         |
|        N/A         ||      AL231975      ||      1513.02       ||       15.76        ||       22.97        ||     7544250.0      ||        N/A         |
|        N/A         ||      AL011976      ||      1597.79       ||       15.66        ||       23.21        ||     5565000.0      ||        N/A         |
|        N/A         ||      AL021976      ||       898.21       ||       16.63        ||        21.6        ||     1207500.0      ||        N/A         |
|        N/A         ||      AL031976      ||       801.73       ||       26.72        ||       27.98        ||      559500.0      ||        N/A         |
|        N/A         ||      AL041976      ||       219.84       ||        4.58        ||        5.27        ||      658500.0      ||        N/A         |
|        N/A         ||      AL051976      ||       480.37       ||       16.01        ||       22.77        ||      423000.0      ||        N/A         |
|        ANNA        ||      AL061976      ||      2707.38       ||       12.53        ||       34.92        ||     7980750.0      ||        N/A         |
|       BELLE        ||      AL071976      ||      1159.99       ||       11.37        ||       22.46        ||     50868000.0     ||        N/A         |
|       DOTTIE       ||      AL081976      ||       717.47       ||        8.54        ||       21.52        ||     2885250.0      ||        N/A         |
|      CANDICE       ||      AL091976      ||      1716.32       ||       11.92        ||       31.59        ||     35767500.0     ||        N/A         |
|        EMMY        ||      AL101976      ||      4263.69       ||       11.65        ||       19.05        ||    144915750.0     ||        N/A         |
|      FRANCES       ||      AL111976      ||      3588.26       ||       13.59        ||       20.81        ||     81409500.0     ||        N/A         |
|        N/A         ||      AL121976      ||       320.58       ||        6.68        ||        8.05        ||      658500.0      ||        N/A         |
|        N/A         ||      AL131976      ||       253.14       ||        5.27        ||        6.2         ||      658500.0      ||        N/A         |
|        N/A         ||      AL141976      ||       581.13       ||        6.92        ||        9.0         ||     2081250.0      ||        N/A         |
|        N/A         ||      AL151976      ||      1555.63       ||        9.26        ||       19.32        ||     3830250.0      ||        N/A         |
|        N/A         ||      AL161976      ||       357.57       ||        6.62        ||       15.58        ||     -5117544.0     ||        N/A         |
|       GLORIA       ||      AL171976      ||      1941.79       ||        9.52        ||       33.25        ||     50428500.0     ||        N/A         |
|        N/A         ||      AL181976      ||       536.53       ||       11.18        ||       12.74        ||      977250.0      ||        N/A         |
|        N/A         ||      AL191976      ||      2255.78       ||       10.44        ||       20.79        ||     -1522044.0     ||        N/A         |
|        N/A         ||      AL201976      ||       486.47       ||        6.76        ||        9.19        ||     1284000.0      ||        N/A         |
|       HOLLY        ||      AL211976      ||       2341.2       ||       15.61        ||       44.93        ||     14650500.0     ||        N/A         |
|        N/A         ||      AL011977      ||       315.98       ||       10.53        ||        10.6        ||     -5446794.0     ||        N/A         |
|        N/A         ||      AL021977      ||       376.65       ||       12.55        ||       13.09        ||     -5310294.0     ||        N/A         |
|        N/A         ||      AL031977      ||       166.3        ||        6.93        ||        7.33        ||      329250.0      ||        N/A         |
|        N/A         ||      AL041977      ||      1218.28       ||       16.92        ||       19.64        ||     1557000.0      ||        N/A         |
|       ANITA        ||      AL051977      ||       864.01       ||        7.58        ||       19.21        ||     81964500.0     ||        N/A         |
|        BABE        ||      AL061977      ||      1202.07       ||        8.71        ||        11.9        ||     9122250.0      ||        N/A         |
|       CLARA        ||      AL071977      ||      1575.01       ||        10.1        ||       30.71        ||     14574750.0     ||        N/A         |
|        N/A         ||      AL081977      ||       562.4        ||       11.72        ||       12.83        ||      658500.0      ||        N/A         |
|        N/A         ||      AL091977      ||       206.64       ||        8.61        ||        9.02        ||     -5540544.0     ||        N/A         |
|      DOROTHY       ||      AL101977      ||      1738.57       ||        20.7        ||       30.08        ||     15722250.0     ||        N/A         |
|        N/A         ||      AL111977      ||       602.58       ||       12.55        ||        13.1        ||      840750.0      ||        N/A         |
|        N/A         ||      AL121977      ||       405.99       ||        8.46        ||       13.17        ||      909000.0      ||        N/A         |
|       EVELYN       ||      AL131977      ||      1399.95       ||       25.92        ||       34.78        ||     9921750.0      ||        N/A         |
|       FRIEDA       ||      AL141977      ||       295.28       ||        5.47        ||        8.6         ||     2692500.0      ||        N/A         |
|        N/A         ||      AL151977      ||       472.95       ||       15.76        ||       15.99        ||     -5310294.0     ||        N/A         |
|        N/A         ||      AL011978      ||      1162.84       ||       10.77        ||       15.02        ||     4614750.0      ||        N/A         |
|        N/A         ||      AL021978      ||       182.91       ||        6.1         ||        8.25        ||     -5492544.0     ||        N/A         |
|        N/A         ||      AL031978      ||       964.04       ||       20.08        ||       22.21        ||      909000.0      ||        N/A         |
|       AMELIA       ||      AL041978      ||       246.07       ||        8.2         ||        8.74        ||     1443750.0      ||        N/A         |
|        BESS        ||      AL051978      ||       515.02       ||        7.15        ||       10.96        ||     3446250.0      ||        N/A         |
|        CORA        ||      AL061978      ||      1997.21       ||       18.49        ||       21.84        ||     17929500.0     ||        N/A         |
|        N/A         ||      AL071978      ||      1850.78       ||       18.14        ||       19.56        ||     -4163544.0     ||        N/A         |
|        N/A         ||      AL081978      ||       180.3        ||        6.01        ||        6.54        ||     -5446794.0     ||        N/A         |
|       DEBRA        ||      AL091978      ||       861.94       ||       11.05        ||        22.1        ||     2296500.0      ||        N/A         |
|        ELLA        ||      AL101978      ||      2452.54       ||       15.72        ||       41.08        ||    112347000.0     ||        N/A         |
|        N/A         ||      AL111978      ||       266.68       ||        5.56        ||        6.28        ||      863250.0      ||        N/A         |
|        N/A         ||      AL121978      ||      2635.86       ||       13.73        ||       52.23        ||     3749250.0      ||        N/A         |
|      FLOSSIE       ||      AL131978      ||      4380.55       ||        14.9        ||       39.75        ||     48559500.0     ||        N/A         |
|        N/A         ||      AL141978      ||       281.05       ||        5.2         ||        6.77        ||     -4844544.0     ||        N/A         |
|        HOPE        ||      AL151978      ||      3762.25       ||        16.5        ||       33.96        ||     17130750.0     ||        N/A         |
|       GRETA        ||      AL161978      ||      1843.07       ||       12.29        ||       20.27        ||     62430750.0     ||        N/A         |
|        N/A         ||      AL171978      ||      3068.88       ||       11.62        ||       18.21        ||     6194250.0      ||        N/A         |
|        N/A         ||      AL181978      ||       412.19       ||        8.59        ||        9.86        ||     -4892544.0     ||        N/A         |
|        IRMA        ||      AL191978      ||       744.26       ||        9.54        ||       35.78        ||     3763500.0      ||        N/A         |
|       JULIET       ||      AL201978      ||      1296.22       ||        14.4        ||       21.25        ||     6527250.0      ||        N/A         |
|        N/A         ||      AL211978      ||       967.62       ||        9.49        ||        10.7        ||     1797000.0      ||        N/A         |
|        N/A         ||      AL221978      ||       724.22       ||       10.06        ||        12.9        ||      896250.0      ||        N/A         |
|       KENDRA       ||      AL231978      ||      2873.95       ||       20.83        ||       51.07        ||     15879000.0     ||        N/A         |
|        N/A         ||      AL241978      ||       485.1        ||       10.11        ||       14.91        ||      658500.0      ||        N/A         |
|        N/A         ||      AL011979      ||      1005.47       ||        7.98        ||       14.07        ||     -3127794.0     ||        N/A         |
|        ANA         ||      AL021979      ||      1301.12       ||       12.05        ||       16.53        ||     3592500.0      ||        N/A         |
|        N/A         ||      AL031979      ||      1536.45       ||        12.8        ||        23.4        ||     1783500.0      ||        N/A         |
|        BOB         ||      AL041979      ||      1956.17       ||       11.64        ||        19.6        ||     8934750.0      ||        N/A         |
|        N/A         ||      AL051979      ||      1154.69       ||        14.8        ||        20.7        ||     1673250.0      ||        N/A         |
|     CLAUDETTE      ||      AL061979      ||       4297.9       ||       12.79        ||       23.57        ||     8025750.0      ||        N/A         |
|        N/A         ||      AL071979      ||      1198.97       ||       15.37        ||       19.13        ||     1536750.0      ||        N/A         |
|        N/A         ||      AL081979      ||      2908.62       ||        20.2        ||       37.47        ||     3364500.0      ||        N/A         |
|       DAVID        ||      AL091979      ||      4991.06       ||        15.4        ||       38.88        ||    313051500.0     ||        N/A         |
|        N/A         ||      AL101979      ||       599.07       ||        8.32        ||       14.56        ||     -4381044.0     ||        N/A         |
|      FREDERIC      ||      AL111979      ||      5522.57       ||       13.74        ||       78.79        ||     97901250.0     ||        N/A         |
|       ELENA        ||      AL121979      ||       497.03       ||        6.9         ||       11.16        ||     2569500.0      ||        N/A         |
|        N/A         ||      AL131979      ||      1774.82       ||       14.79        ||       22.81        ||     2534250.0      ||        N/A         |
|       GLORIA       ||      AL141979      ||      3015.18       ||       11.69        ||        23.5        ||     78060000.0     ||        N/A         |
|       HENRI        ||      AL151979      ||      1357.81       ||        5.96        ||       12.04        ||     15789000.0     ||        N/A         |
|        N/A         ||      AL161979      ||      1668.56       ||        13.9        ||       25.92        ||     2397750.0      ||        N/A         |
|        N/A         ||      AL171979      ||       896.5        ||        4.67        ||        6.93        ||     -1892544.0     ||        N/A         |
|        N/A         ||      AL181979      ||      1415.41       ||       29.49        ||       43.98        ||     5630250.0      ||        N/A         |
|        N/A         ||      AL191979      ||       728.3        ||        6.07        ||       11.04        ||     -3790794.0     ||        N/A         |
|        N/A         ||      AL201979      ||       659.03       ||       10.98        ||       12.76        ||     1233000.0      ||        N/A         |
|        N/A         ||      AL011980      ||       731.26       ||        7.62        ||       11.34        ||     -4644294.0     ||        N/A         |
|        N/A         ||      AL021980      ||       499.89       ||        5.21        ||        6.65        ||     -3733044.0     ||        N/A         |
|        N/A         ||      AL031980      ||      1368.03       ||       14.25        ||       19.15        ||     1954500.0      ||        N/A         |
|       ALLEN        ||      AL041980      ||      4397.65       ||       16.29        ||       22.53        ||    412452000.0     ||        N/A         |
|        N/A         ||      AL051980      ||      2041.68       ||       21.27        ||       28.21        ||     2136750.0      ||        N/A         |
|       BONNIE       ||      AL061980      ||      2379.74       ||       17.24        ||       47.75        ||     36745500.0     ||        N/A         |
|      CHARLEY       ||      AL071980      ||      1984.38       ||       15.75        ||       37.87        ||     17989500.0     ||        N/A         |
|        N/A         ||      AL081980      ||      1756.99       ||        18.3        ||       23.92        ||     1932000.0      ||        N/A         |
|      GEORGES       ||      AL091980      ||      3656.17       ||       19.66        ||       39.81        ||     13406250.0     ||        N/A         |
|        EARL        ||      AL101980      ||      3052.98       ||       19.57        ||       37.67        ||     24943500.0     ||        N/A         |
|      DANIELLE      ||      AL111980      ||       516.74       ||        7.83        ||        13.1        ||     2140500.0      ||        N/A         |
|      FRANCES       ||      AL121980      ||      4212.66       ||        11.7        ||       33.53        ||    188781000.0     ||        N/A         |
|      HERMINE       ||      AL131980      ||      1197.33       ||        9.07        ||       14.67        ||     14315250.0     ||        N/A         |
|        IVAN        ||      AL141980      ||      3389.01       ||       12.84        ||       39.44        ||     96205500.0     ||        N/A         |
|        N/A         ||      AL151980      ||       153.04       ||        3.19        ||        3.97        ||      658500.0      ||        N/A         |
|       JEANNE       ||      AL161980      ||      1378.09       ||        6.76        ||       14.87        ||     28150500.0     ||        N/A         |
|        N/A         ||      AL171980      ||      1168.18       ||        8.11        ||       13.31        ||     3068250.0      ||        N/A         |
