The result for hurdat2-1851-2017-050118.txt is:

|     Strom name     ||      Storm ID      ||  Distance travel   ||  Mean propagation  ||  Max propagation   ||        TRSE        ||Max hurricane surface area|
|        N/A         ||      AL061860      ||       774.51       ||        8.61        ||       15.58        ||     32610000.0     ||        N/A         |
|        N/A         ||      AL071860      ||      1336.16       ||        13.1        ||        31.8        ||     47730000.0     ||        N/A         |
|        N/A         ||      AL011861      ||       1612.7       ||        9.95        ||        14.2        ||     55002000.0     ||        N/A         |
|        N/A         ||      AL021861      ||       961.87       ||        9.43        ||       14.91        ||     33186000.0     ||        N/A         |
|        N/A         ||      AL031861      ||      1626.63       ||       11.79        ||       19.12        ||     81072000.0     ||        N/A         |
|        N/A         ||      AL041861      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051861      ||      1154.66       ||       38.49        ||       47.71        ||     6785000.0      ||        N/A         |
|        N/A         ||      AL061861      ||      1380.26       ||       15.34        ||       20.24        ||     17256000.0     ||        N/A         |
|        N/A         ||      AL071861      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL081861      ||      1259.67       ||       20.99        ||        24.1        ||     14063000.0     ||        N/A         |
|        N/A         ||      AL011862      ||       346.82       ||        5.25        ||        7.55        ||     8250000.0      ||        N/A         |
|        N/A         ||      AL021862      ||      1353.22       ||       18.79        ||       35.31        ||     48582000.0     ||        N/A         |
|        N/A         ||      AL031862      ||      2262.82       ||       11.43        ||       30.12        ||    118032000.0     ||        N/A         |
|        N/A         ||      AL041862      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051862      ||       929.11       ||       11.91        ||       23.52        ||     22614000.0     ||        N/A         |
|        N/A         ||      AL061862      ||       29.55        ||        0.38        ||        1.97        ||     13932000.0     ||        N/A         |
|        N/A         ||      AL011863      ||       353.73       ||        8.42        ||        9.06        ||     18750000.0     ||        N/A         |
|        N/A         ||      AL021863      ||       535.25       ||       12.74        ||       15.02        ||     23382000.0     ||        N/A         |
|        N/A         ||      AL031863      ||      1513.66       ||       14.84        ||       23.38        ||     56808000.0     ||        N/A         |
|        N/A         ||      AL041863      ||       657.7        ||       15.66        ||       19.83        ||     28014000.0     ||        N/A         |
|        N/A         ||      AL051863      ||       2610.8       ||       14.04        ||       21.85        ||     54756000.0     ||        N/A         |
|        N/A         ||      AL061863      ||      1090.06       ||       13.98        ||       38.49        ||     12931000.0     ||        N/A         |
|        N/A         ||      AL071863      ||       121.78       ||        4.06        ||        5.02        ||     3018000.0      ||        N/A         |
|        N/A         ||      AL081863      ||       378.32       ||       21.02        ||        26.8        ||     1884000.0      ||        N/A         |
|        N/A         ||      AL091863      ||       356.68       ||        5.4         ||        5.92        ||     7146000.0      ||        N/A         |
|        N/A         ||      AL011864      ||      1754.92       ||       26.59        ||       43.84        ||     19590000.0     ||        N/A         |
|        N/A         ||      AL021864      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL031864      ||       2126.6       ||       14.18        ||       18.35        ||     48468000.0     ||        N/A         |
|        N/A         ||      AL041864      ||        N/A         ||        0.0         ||        0.0         ||        0.0         ||        0.0         |
|        N/A         ||      AL051864      ||      1070.84       ||       16.22        ||       23.44        ||     17190000.0     ||        N/A         |
|        N/A         ||      AL011865      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL021865      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL031865      ||       712.42       ||        6.25        ||       12.69        ||     19710000.0     ||        N/A         |
|        N/A         ||      AL041865      ||       2709.9       ||        12.9        ||       19.41        ||    140328000.0     ||        N/A         |
|        N/A         ||      AL051865      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL061865      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL071865      ||      2157.36       ||        11.6        ||       23.94        ||     64958000.0     ||        N/A         |
|        N/A         ||      AL011866      ||       554.6        ||        5.14        ||        5.4         ||     71664000.0     ||        N/A         |
|        N/A         ||      AL021866      ||      2205.22       ||        17.5        ||        21.4        ||     64596000.0     ||        N/A         |
|        N/A         ||      AL031866      ||      1190.21       ||       15.26        ||       21.82        ||     25230000.0     ||        N/A         |
|        N/A         ||      AL041866      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051866      ||       852.76       ||       12.92        ||       16.77        ||     28566000.0     ||        N/A         |
|        N/A         ||      AL061866      ||      4383.61       ||       15.54        ||       34.75        ||    230892000.0     ||        N/A         |
|        N/A         ||      AL071866      ||       910.79       ||        25.3        ||       32.82        ||     5772000.0      ||        N/A         |
|        N/A         ||      AL011867      ||       367.38       ||        6.8         ||       12.24        ||     10160000.0     ||        N/A         |
|        N/A         ||      AL021867      ||      2779.64       ||       17.16        ||       43.92        ||     74394000.0     ||        N/A         |
|        N/A         ||      AL031867      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL041867      ||       945.27       ||        10.5        ||       16.21        ||     24774000.0     ||        N/A         |
|        N/A         ||      AL051867      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL061867      ||       517.27       ||        9.58        ||       13.28        ||     26196000.0     ||        N/A         |
|        N/A         ||      AL071867      ||      1569.78       ||        8.44        ||       13.08        ||     80787000.0     ||        N/A         |
|        N/A         ||      AL081867      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL091867      ||      1314.82       ||        13.7        ||       19.11        ||     43848000.0     ||        N/A         |
|        N/A         ||      AL011868      ||      1484.13       ||       14.55        ||       27.17        ||     50334000.0     ||        N/A         |
|        N/A         ||      AL021868      ||      2266.74       ||       13.99        ||       27.53        ||     29590000.0     ||        N/A         |
|        N/A         ||      AL031868      ||       358.69       ||        5.43        ||        8.3         ||     48114000.0     ||        N/A         |
|        N/A         ||      AL041868      ||       741.06       ||       11.23        ||        17.0        ||     35958000.0     ||        N/A         |
|        N/A         ||      AL011869      ||       212.12       ||       11.78        ||        12.4        ||     13122000.0     ||        N/A         |
|        N/A         ||      AL021869      ||       392.22       ||        9.34        ||       10.64        ||     24063000.0     ||        N/A         |
|        N/A         ||      AL031869      ||       165.72       ||        9.21        ||       12.42        ||     6174000.0      ||        N/A         |
|        N/A         ||      AL041869      ||       475.85       ||       11.33        ||       13.14        ||     7434000.0      ||        N/A         |
|        N/A         ||      AL051869      ||       268.23       ||        5.59        ||        6.55        ||     13482000.0     ||        N/A         |
|        N/A         ||      AL061869      ||      1231.98       ||       22.81        ||       45.27        ||     42896000.0     ||        N/A         |
|        N/A         ||      AL071869      ||      2490.41       ||       13.39        ||       19.46        ||    101508000.0     ||        N/A         |
|        N/A         ||      AL081869      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL091869      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL101869      ||      1124.22       ||       31.23        ||       40.23        ||     19325000.0     ||        N/A         |
|        N/A         ||      AL011870      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL021870      ||      2094.63       ||       15.18        ||       30.04        ||     63894000.0     ||        N/A         |
|        N/A         ||      AL031870      ||      1586.98       ||       17.63        ||       19.99        ||     13062000.0     ||        N/A         |
|        N/A         ||      AL041870      ||      2125.55       ||       18.65        ||       24.87        ||     91902000.0     ||        N/A         |
|        N/A         ||      AL051870      ||       2300.3       ||       25.56        ||       46.11        ||     39996000.0     ||        N/A         |
|        N/A         ||      AL061870      ||       1478.0       ||        6.32        ||       14.36        ||    130104000.0     ||        N/A         |
|        N/A         ||      AL071870      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL081870      ||       699.37       ||       23.31        ||       33.36        ||     10290000.0     ||        N/A         |
|        N/A         ||      AL091870      ||      1171.23       ||       13.01        ||       20.18        ||     42752000.0     ||        N/A         |
|        N/A         ||      AL101870      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL111870      ||       597.77       ||        5.24        ||       11.01        ||     28566000.0     ||        N/A         |
|        N/A         ||      AL011871      ||      1219.93       ||        10.7        ||       19.16        ||     10573000.0     ||        N/A         |
|        N/A         ||      AL021871      ||       687.34       ||       10.41        ||       11.57        ||     5244000.0      ||        N/A         |
|        N/A         ||      AL031871      ||      1509.32       ||        6.45        ||       10.33        ||     98192000.0     ||        N/A         |
|        N/A         ||      AL041871      ||      4487.51       ||        13.6        ||       37.45        ||    126240000.0     ||        N/A         |
|        N/A         ||      AL051871      ||      1078.74       ||       11.99        ||       16.41        ||     65610000.0     ||        N/A         |
|        N/A         ||      AL061871      ||       898.9        ||        9.99        ||       14.27        ||     22810000.0     ||        N/A         |
|        N/A         ||      AL071871      ||      1745.88       ||        9.39        ||       25.36        ||     38014000.0     ||        N/A         |
|        N/A         ||      AL081871      ||      2042.68       ||       26.19        ||       44.97        ||     25446000.0     ||        N/A         |
